title	year	url	semanticscholar_tldr	use	citation_count	abstract	semanticscholar_id	bibtex
Zero-Shot Opinion Summarization with GPT-3	2022	http://www.semanticscholar.org/paper/f9a6f76a20475602e5facaa019f3e4f078cedead	This paper explores several pipeline methods for applying GPT-3 to summarize a large collection of user reviews in a zero-shot fashion, and evaluates against several new measures targeting faithfulness, factuality, and genericity to contrast these different methods.	maybe	0	Very large language models such as GPT-3 have shown impressive performance across a wide variety of tasks, including text summarization. In this paper, we show that this strong performance extends to opinion summarization. We explore several pipeline methods for applying GPT-3 to summarize a large collec-tion of user reviews in a zero-shot fashion, no-tably approaches based on recursive summarization and selecting salient content to summarize through supervised clustering or extraction. On two datasets, an aspect-oriented summarization dataset of hotel reviews and a generic summarization dataset of Amazon and Yelp reviews, we show that the GPT-3 models achieve very strong performance in human evaluation. We argue that standard evaluation metrics do not reﬂect this, and evaluate against several new measures targeting faithfulness, factuality, and genericity to contrast these different methods.	f9a6f76a20475602e5facaa019f3e4f078cedead	@['JournalArticle', 'Review']{bhaskar-etal-2022-zero,  author = {Adithya Bhaskar and Alexander R. Fabbri and Greg Durrett},  booktitle = {ArXiv},  journal = {ArXiv},  title = {Zero-Shot Opinion Summarization with GPT-3},  volume = {abs/2211.15914},  year = {2022} }
Your fairness may vary: Pretrained language model fairness in toxic text classification	2021	http://www.semanticscholar.org/paper/fb1810f403288c40291fbe65fdfa4adf55c466e7	It is demonstrated that focusing on accuracy measures alone can lead to models with wide variation in fairness characteristics, and it is shown that two post-processing methods developed for structured, tabular data can be successfully applied to a range of pretrained language models.	maybe	5	The popularity of pretrained language models in natural language processing systems calls for a careful evaluation of such models in down-stream tasks, which have a higher potential for societal impact. The evaluation of such systems usually focuses on accuracy measures. Our findings in this paper call for attention to be paid to fairness measures as well. Through the analysis of more than a dozen pretrained language models of varying sizes on two toxic text classification tasks (English), we demonstrate that focusing on accuracy measures alone can lead to models with wide variation in fairness characteristics. Specifically, we observe that fairness can vary even more than accuracy with increasing training data size and different random initializations. At the same time, we find that little of the fairness variation is explained by model size, despite claims in the literature. To improve model fairness without retraining, we show that two post-processing methods developed for structured, tabular data can be successfully applied to a range of pretrained language models. Warning: This paper contains samples of offensive text.	fb1810f403288c40291fbe65fdfa4adf55c466e7	@['JournalArticle']{baldini-etal-2021-your,  author = {Ioana Baldini and Dennis Wei and K. Ramamurthy and Mikhail Yurochkin and Moninder Singh},  booktitle = {Findings},  pages = {2245-2262},  title = {Your fairness may vary: Pretrained language model fairness in toxic text classification},  year = {2021} }
You Can't Learn What's Not There: Self Supervised Learning and the Poverty of the Stimulus	2021	http://www.semanticscholar.org/paper/27f06ede6bdabca875c3a2ebb600094639bd5b49		maybe	0		27f06ede6bdabca875c3a2ebb600094639bd5b49	@['JournalArticle', 'Conference']{veres-sampson-2021-you,  author = {C. Veres and Jennifer Sampson},  booktitle = {International Conference on Applications of Natural Language to Data Bases},  pages = {3-14},  title = {You Can't Learn What's Not There: Self Supervised Learning and the Poverty of the Stimulus},  year = {2021} }
You Are What You Write: Preserving Privacy in the Era of Large Language Models	2022	http://www.semanticscholar.org/paper/597cad6c7b9de94eecc153c7cdcaf824905fe915	This paper presents the first wide coverage evaluation and comparison of some of the most popular privacy-preserving algorithms, on a large, multi-lingual dataset on sentiment analysis annotated with demographic information (location, age and gender).	maybe	0	Large scale adoption of large language models has introduced a new era of convenient knowledge transfer for a slew of natural language processing tasks. However, these models also run the risk of undermining user trust by exposing unwanted information about the data subjects, which may be extracted by a malicious party, e.g. through adversarial attacks. We present an empirical investigation into the extent of the personal information encoded into pre-trained representations by a range of popular models, and we show a positive correlation between the complexity of a model, the amount of data used in pre-training, and data leakage. In this paper, we present the ﬁrst wide coverage evaluation and comparison of some of the most popular privacy-preserving algorithms, on a large, multi-lingual dataset on sentiment analysis annotated with demographic information (location, age and gender). The results show since larger and more complex models are more prone to leaking private information, use of privacy-preserving methods is highly desirable. We also ﬁnd that highly privacy-preserving technologies like differential privacy (DP) can have serious model utility effects, which can be ameliorated using hybrid or metric-DP techniques.	597cad6c7b9de94eecc153c7cdcaf824905fe915	@['JournalArticle']{plant-etal-2022-you,  author = {Richard Plant and V. Giuffrida and Dimitra Gkatzia},  booktitle = {ArXiv},  journal = {ArXiv},  title = {You Are What You Write: Preserving Privacy in the Era of Large Language Models},  volume = {abs/2204.09391},  year = {2022} }
Y-Tuning: An Efficient Tuning Paradigm for Large-Scale Pre-Trained Models via Label Representation Learning	2022	http://www.semanticscholar.org/paper/2002afb402fb55bd42108e3cabffe2996bdf5e37	Y -Tuning is proposed, an efﬁcient yet effective paradigm to adapt frozen large-scale PTMs to speciﬂc downstream tasks and achieves performance more than 96% of full tuning on GLUE Benchmark with only 2% tunable parameters and much fewer training costs.	maybe	2	With the success of large-scale pre-trained models (PTMs), how efﬁciently adapting PTMs to downstream tasks has attracted tremendous attention, especially for PTMs with billions of parameters. Previous work focuses on designing parameter-efﬁcient tuning paradigms but needs to save and compute the gradient of the whole computational graph. In this paper, we propose Y -Tuning, an efﬁcient yet effective paradigm to adapt frozen large-scale PTMs to speciﬁc downstream tasks. Y -tuning learns dense representations for labels Y deﬁned in a given task and aligns them to ﬁxed feature representation. Without computing the gradients of text encoder at training phrase, Y -tuning is not only parameter-efﬁcient but also training-efﬁcient. Experimental results show that for DeBERTa XXL with 1.6 billion parameters, Y -tuning achieves performance more than 96% of full ﬁne-tuning on GLUE Benchmark with only 2% tunable parameters and much fewer training costs.	2002afb402fb55bd42108e3cabffe2996bdf5e37	@['JournalArticle']{liu-etal-2022-y,  author = {Yitao Liu and Chen An and Xipeng Qiu},  booktitle = {ArXiv},  journal = {ArXiv},  title = {Y-Tuning: An Efficient Tuning Paradigm for Large-Scale Pre-Trained Models via Label Representation Learning},  volume = {abs/2202.09817},  year = {2022} }
XplaiNLI: Explainable Natural Language Inference through Visual Analytics	2020	http://www.semanticscholar.org/paper/109e3f6c0860a8daf05f2263665f13a9a58998e9	XplaiNLI is proposed, an eXplainable, interactive, visualization interface that computes NLI with different methods and provides explanations for the decisions made by the different approaches.	maybe	2	Advances in Natural Language Inference (NLI) have helped us understand what state-of-the-art models really learn and what their generalization power is. Recent research has revealed some heuristics and biases of these models. However, to date, there is no systematic effort to capitalize on those insights through a system that uses these to explain the NLI decisions. To this end, we propose XplaiNLI, an eXplainable, interactive, visualization interface that computes NLI with different methods and provides explanations for the decisions made by the different approaches.	109e3f6c0860a8daf05f2263665f13a9a58998e9	@['JournalArticle', 'Conference']{kalouli-etal-2020-xplainli:,  author = {A. Kalouli and R. Sevastjanova and Valeria de Paiva and Dick Crouch and Mennatallah El-Assady},  booktitle = {International Conference on Computational Linguistics},  pages = {48-52},  title = {XplaiNLI: Explainable Natural Language Inference through Visual Analytics},  year = {2020} }
XAI for Transformers: Better Explanations through Conservative Propagation	2022	http://www.semanticscholar.org/paper/577a350ade92578913245e2d474aeabcb576e6d6	This proposal, which can be seen as a proper extension of the well-established LRP method to Transformers, is shown both theoretically and empirically to overcome the deﬁciency of a simple gradient-based approach, and achieves state-of-the-art explanation performance on a broad range of Transformer models and datasets.	maybe	7	Transformers have become an important workhorse of machine learning, with numerous applications. This necessitates the development of reliable methods for increasing their transparency. Multiple interpretability methods, often based on gradient information, have been proposed. We show that the gradient in a Transformer reﬂects the function only locally, and thus fails to reliably identify the contribution of input features to the prediction. We identify Attention Heads and LayerNorm as the main reasons for such unreliable explanations and propose a more stable way for propagation through these layers. Our proposal, which can be seen as a proper extension of the well-established LRP method to Transformers, is shown both theoretically and empirically to overcome the deﬁciency of a simple gradient-based approach, and achieves state-of-the-art explanation performance on a broad range of Transformer models and datasets.	577a350ade92578913245e2d474aeabcb576e6d6	@['JournalArticle', 'Conference']{ali-etal-2022-xai,  author = {Ameen Ali and Thomas Schnake and Oliver Eberle and G. Montavon and Klaus-Robert Müller and Lior Wolf},  booktitle = {International Conference on Machine Learning},  journal = {ArXiv},  title = {XAI for Transformers: Better Explanations through Conservative Propagation},  volume = {abs/2202.07304},  year = {2022} }
Would you Rather? A New Benchmark for Learning Machine Alignment with Cultural Values and Social Preferences	2020	http://www.semanticscholar.org/paper/1e26ff02f330fcf198bea8db0510d295c07ff908	A newly introduced problem concerned with predicting the preferable options from two sentences describing scenarios that may involve social and cultural situations, framed as a natural language inference task with crowd-sourced preference votes by human players, obtained from a gamified voting platform.	maybe	8	Understanding human preferences, along with cultural and social nuances, lives at the heart of natural language understanding. Concretely, we present a new task and corpus for learning alignments between machine and human preferences. Our newly introduced problem is concerned with predicting the preferable options from two sentences describing scenarios that may involve social and cultural situations. Our problem is framed as a natural language inference task with crowd-sourced preference votes by human players, obtained from a gamified voting platform. We benchmark several state-of-the-art neural models, along with BERT and friends on this task. Our experimental results show that current state-of-the-art NLP models still leave much room for improvement.	1e26ff02f330fcf198bea8db0510d295c07ff908	@['JournalArticle', 'Conference']{tay-etal-2020-would,  author = {Yi Tay and Donovan Ong and Jie Fu and Alvin Chan and Nancy Chen and A. Luu and C. Pal},  booktitle = {Annual Meeting of the Association for Computational Linguistics},  pages = {5369-5373},  title = {Would you Rather? A New Benchmark for Learning Machine Alignment with Cultural Values and Social Preferences},  year = {2020} }
Wordcraft: Story Writing With Large Language Models	2022	http://www.semanticscholar.org/paper/fb5c11bbf63884f75d2da615fbf37a3bcfa2bd20	This work built Wordcraft, a text editor in which users collaborate with a generative language model to write a story, and shows that large language models enable novel co-writing experiences.	maybe	12	The latest generation of large neural language models such as GPT-3 have achieved new levels of performance on benchmarks for language understanding and generation. These models have even demonstrated an ability to perform arbitrary tasks without explicit training. In this work, we sought to learn how people might use such models in the process of creative writing. We built Wordcraft, a text editor in which users collaborate with a generative language model to write a story. We evaluated Wordcraft with a user study in which participants wrote short stories with and without the tool. Our results show that large language models enable novel co-writing experiences. For example, the language model is able to engage in open-ended conversation about the story, respond to writers’ custom requests expressed in natural language (such as ”rewrite this text to be more Dickensian”), and generate suggestions that serve to unblock writers in the creative process. Based on these results, we discuss design implications for future human-AI co-writing systems.	fb5c11bbf63884f75d2da615fbf37a3bcfa2bd20	@['JournalArticle', 'Book', 'Conference']{yuan-etal-2022-wordcraft:,  author = {Ann Yuan and Andy Coenen and Emily Reif and Daphne Ippolito},  booktitle = {International Conference on Intelligent User Interfaces},  journal = {27th International Conference on Intelligent User Interfaces},  title = {Wordcraft: Story Writing With Large Language Models},  year = {2022} }
Word-order Typology in Multilingual BERT: A Case Study in Subordinate-Clause Detection	2022	http://www.semanticscholar.org/paper/cd48780a4bb7513e6b81cf3bb993b4f4fb962e13		maybe	0	The capabilities and limitations of BERT and similar models are still unclear when it comes to learning syntactic abstractions, in particular across languages. In this paper, we use the task of subordinate-clause detection within and across languages to probe these properties. We show that this task is deceptively simple, with easy gains offset by a long tail of harder cases, and that BERT’s zero-shot performance is dominated by word-order effects, mirroring the SVO/VSO/SOV typology.	cd48780a4bb7513e6b81cf3bb993b4f4fb962e13	@['JournalArticle']{nikolaev-padó-2022-word,  author = {Dmitry Nikolaev and Sebastian Padó},  booktitle = {SIGTYP},  journal = {ArXiv},  title = {Word-order Typology in Multilingual BERT: A Case Study in Subordinate-Clause Detection},  volume = {abs/2205.11987},  year = {2022} }
